,PRBodySize,CommitSize,No_of_Files_Changed,socialDistance,No_of_Comments,timeSpentOnPR,repositoryAge,No_of_collaborators,No_of_Stars,No_of_Watchers,No_of_OpenIssues,No_of_followers_Submitter,submitterStatus,pullrequestDecision
72,145,809,1,0,1,0,1506,30,255,255,3,5,1,0
73,62,853,7,0,2,441,1065,30,255,255,2,9,1,0
74,169,131,3,0,2,319,1186,30,255,255,1,9,0,0
75,203,146,10,0,8,1,244,16,2061,2061,9,-1,0,1
76,0,249,4,0,0,0,45,30,426,426,29,30,1,1
77,560,179,3,0,0,4,1610,30,7558,7558,11,30,1,1
78,126,4,1,0,1,0,829,30,5,5,7,30,1,1
79,197,28,1,0,2,8,651,30,68,68,17,-1,0,0
80,24,28,1,0,1,8,652,30,68,68,16,1,1,0
81,12,2,1,0,0,0,1345,30,152,152,172,0,0,1
82,32,6,2,0,0,0,582,10,5,5,18,8,1,1
83,0,2,1,0,0,0,2452,30,1379,1379,13,30,1,1
84,85,36,2,0,0,0,740,17,155,155,4,12,1,1
85,279,23,3,0,17,0,45,30,426,426,29,30,1,1
86,34,16,1,0,0,0,582,10,5,5,18,8,1,1
87,0,4,2,0,0,0,1564,30,806,806,23,30,1,1
88,943,113,2,0,17,5,433,18,1036,1036,4,30,1,1
89,242,17,4,0,0,0,949,30,476,476,33,25,1,1
90,0,3,1,0,0,0,582,10,5,5,18,8,1,1
91,826,145,2,0,1,0,790,30,1375,1375,548,30,1,1
92,418,4,1,0,0,0,276,12,231,231,17,6,1,1
93,70,30,2,0,2,0,1182,30,569,569,8,30,1,1
94,50,19,1,0,2,0,56,30,6,6,9,-1,0,0
95,50,37,1,0,0,0,57,30,6,6,8,30,1,1
96,26,9,1,0,0,0,582,10,5,5,18,8,1,1
97,0,2,1,0,0,0,582,10,5,5,18,8,1,1
98,113,8,2,0,2,0,1597,30,4682,4682,548,30,1,1
99,3,76,3,-1,3,6,778,6,24,24,21,0,1,0
100,0,6,1,0,0,0,1086,30,107,107,28,30,1,1
101,23,1,2,0,0,60,109,30,19,19,54,0,0,1
102,282,10,1,0,0,0,342,19,29,29,34,7,1,1
103,105,22337,14,0,1,1,478,30,45,45,8,28,0,1
104,0,9491,4,0,0,0,14,13,17,17,1,5,1,1
105,42,20,1,0,0,0,127,2,2,2,1,1,0,1
106,0,1,2,0,0,0,582,10,5,5,18,8,1,1
107,0,4,1,0,0,0,582,10,5,5,18,8,1,1
108,106,19,4,0,0,0,714,30,50,50,49,30,1,1
109,69,18,1,0,0,0,127,2,2,2,0,1,0,1
110,0,1,1,0,0,58,111,30,19,19,53,2,0,1
111,0,1,1,0,0,56,112,30,19,19,52,0,0,1
112,0,13,1,0,0,0,680,30,102,102,38,30,1,1
113,12,13,2,0,6,0,634,30,2647,2647,284,30,1,1
114,0,4,1,0,0,0,1,30,32,32,11,30,0,1
115,0,1,1,0,0,53,115,30,19,19,51,0,0,1
116,321,2,1,0,3,0,1056,19,85,85,14,7,1,0
117,0,40,2,-1,1,15,683,18,16,16,31,2,1,1
118,466,9,2,0,3,15,190,30,458,458,5,30,0,1
119,53,66,3,0,0,84,425,24,61,61,3,11,0,0
120,146,2,1,0,3,0,635,30,2647,2647,283,6,1,0
121,147,11,1,0,2,0,335,30,91,91,60,30,1,1
122,0,1,1,0,0,53,116,30,19,19,50,0,0,1
123,154,2,1,0,2,12,656,30,174,174,44,30,0,1
124,139,3,1,0,0,1,1721,26,349,349,14,12,1,1
125,206,2,1,0,8,1,1074,30,172,172,617,0,0,1
126,0,4,2,0,0,0,582,10,5,5,18,8,1,1
127,104,506,1,0,2,0,1446,30,550,550,38,30,1,1
128,349,5,2,0,0,0,349,24,119,119,10,30,1,1
129,379,2,1,0,0,0,349,24,119,119,9,30,1,1
130,0,2,1,0,0,51,118,30,19,19,49,-1,0,1
131,5,6,1,0,0,0,582,10,5,5,18,8,1,1
132,576,216,13,0,7,1,429,30,211,211,29,30,1,1
133,98,6,3,0,1,0,816,30,59,59,4,30,0,1
134,0,2,1,0,0,50,119,30,19,19,48,1,0,1
135,381,51,4,0,1,0,1398,30,916,916,254,30,1,1
136,265,462,17,0,0,0,294,18,19,19,12,0,1,1
137,127,0,1,0,0,0,609,19,161,161,18,30,1,1
138,0,2,1,0,0,39,130,30,19,19,47,0,1,1
139,0,1,1,0,0,36,133,30,19,19,46,0,0,1
140,0,1,1,0,0,33,136,30,19,19,45,3,0,1
141,425,21,1,0,2,0,1047,30,1443,1443,32,0,0,0
142,568,1818,11,0,59,5,820,30,556,556,778,0,0,1
143,0,8,1,0,0,0,374,30,536,536,103,-1,0,1
144,0,1,1,0,0,31,138,30,19,19,44,-1,0,1
145,0,1,1,0,0,30,139,30,19,19,43,0,0,1
146,33,385,124,0,1,0,1045,1,9,9,4,23,1,1
