,PRBodySize,CommitSize,No_of_Files_Changed,socialDistance,No_of_Comments,timeSpentOnPR,repositoryAge,No_of_collaborators,No_of_Stars,No_of_Watchers,No_of_OpenIssues,No_of_followers_Submitter,submitterStatus,pullrequestDecision
17963,0,286,9,0,0,0,597,30,39,39,65,30,1,1
17964,270,6,1,0,1,0,159,15,13,13,25,1,0,1
17965,9,13,1,0,2,0,1434,30,394,394,3,30,0,1
17966,0,907,10,0,5,6,263,6,19,19,1,2,1,1
17967,0,2,1,0,0,2,1214,13,6,6,16,1,1,1
17968,0,128,5,0,0,0,121,-1,3,3,14,30,0,1
17969,89,15,3,0,0,0,614,30,13556,13556,214,30,1,1
17970,179,24,2,0,0,0,703,13,10,10,7,6,1,1
17971,93,23,3,0,8,42,457,1,24,24,18,30,0,1
17972,0,175,1,0,0,0,1365,30,253,253,229,30,1,1
17973,12,63,2,0,0,0,1417,30,4532,4532,2064,30,1,1
17974,367,62,2,0,0,0,1417,30,4532,4532,2063,0,0,1
17975,578,16,1,0,0,44,454,1,24,24,16,30,0,1
17976,164,38,2,0,1,0,416,3,324,324,21,0,0,1
17977,169,1,1,0,0,0,825,30,129,129,126,12,0,1
17978,70,10,1,0,0,0,533,30,22,22,3,30,1,1
17979,92,8,1,0,5,0,583,12,125,125,13,30,1,1
17980,655,32,1,0,8,84,155,30,1783,1783,1607,25,0,0
17981,0,34,2,0,1,0,547,30,3095,3095,102,30,1,1
17982,509,151,5,0,9,1,145,-1,9,9,5,4,0,1
17983,0,283,4,0,0,0,1214,30,24,24,380,30,1,1
17984,434,75,1,0,4,0,886,30,227,227,109,3,1,1
17985,56,6,1,0,2,2,455,12,43,43,3,6,1,1
17986,0,306,4,0,0,1,434,11,4,4,4,21,1,1
17987,429,368,10,0,1,0,881,30,188,188,39,30,1,1
17988,0,36,1,0,0,0,1372,11,8,8,29,0,1,1
17989,0,7,1,0,0,0,503,28,18,18,102,5,1,1
17990,40,60,3,0,2,0,233,30,65,65,24,30,0,1
17991,308,11,2,0,6,0,886,30,227,227,108,30,1,1
17992,75,8,2,0,0,0,511,13,133,133,94,2,0,0
17993,109,658,3,0,2,22,1372,30,93,93,281,3,1,0
17994,192,96,7,0,6,1,885,30,227,227,107,30,0,1
17995,0,674,18,0,0,0,940,30,3556,3556,48,30,1,1
17996,21,58,17,0,5,0,1017,30,2311,2311,320,30,1,1
17997,8,84,6,0,8,0,775,30,127,127,46,30,1,1
17998,37,1047,13,0,0,0,511,13,133,133,93,0,0,1
17999,0,4,1,0,0,0,1039,30,5692,5692,207,30,0,1
18000,29,569,4,0,8,1,52,-1,3,3,2,11,0,0
